
language Language
languageValue English
choice Choice
newGame New_Game
loadGame Load_a_game
quit Quit
play Play
shop Shop
goShop Go_to_shop
settings Settings
menu Menu
game Game
move Move
moveX Move_X
moveY Move_Y
shoot Shoot
nothing Continue
shild Shild
escape Escape
changeDifficulty Change_difficulty
changeNBLifeInit Change_Initial_life_number
changeLanguage Change_Language
levelShoot Shoot's_level:
upgradeMainShoot Upgrade_the_main_shoot
upgradeMainShootlvl2 Shoot_level_2
upgradeMainShootlvl3 Shoot_level_3
upgradeMainShootlvl4 Shoot_level_4
upgradeMainShootlvl5 Shoot_level_5
levelShip Ship's_level:
upgradeShip Upgrade_ship
upgradeShiplvl2 Ship_level_2
upgradeShiplvl3 Ship_level_3
upgradeShiplvl4 Ship_level_4
levelShild Shild's_level:
noShild No_Shild
activatedShild Shild_activated
alreadyShild Shidl_already_buy
upgrateShild Upgrade_Shild
upgrateShildlvl1 Shild_level_1
upgrateShildlvl2 Shild_level_2
upgrateShildlvl3 Shild_level_3
purchaseRight Purchase_don!
purchaseWrong Purchase_fail!
difficulty Difficulty
nbLifeInit Initial_Life_Number
availableLanguages Available_languages
english English
french French
successfullChange Change_Successfuly
fail Failure!
newValue New_value
valueLower Value_must_be_lower_than
bomb Use_a_bombe
money Money
score Score
