
language Langue
languageValue Français
choice Choix:
newGame Nouvelle_Partie
loadGame Charger_une_partie
quit Quitter
play Jouer
shop Boutique
goShop Acceder_a_la_boutique
settings Parametres
menu Menu
game Jeu
move Deplacement
moveX Deplacement_X
moveY Deplacement_Y
shoot Tirer
nothing Rien
escape Abandonner
changeDifficulty Changer_la_difficulté
changeNBLifeInit Changer_le_nombre_de_vie_initiales
changeLanguage Changer_la_langue
upgradeMainShoot Amelioration_du_tir_principal
upgradeMainShootlvl2 Tir_niveau_2
upgradeMainShootlvl3 Tir_niveau_3
upgradeMainShootlvl4 Tir_niveau_4
upgradeMainShootlvl5 Tir_niveau_5
upgradeShip Amelioreation_du_vaisseau
upgradeShiplvl2 Vaisseau_niveau_2
upgradeShiplvl3 Vaisseau_niveau_3
upgradeShiplvl4 Vaisseau_niveau_4
purchaseRight Achat_effectué
purchaseWrong Echec_de_l'achat
difficulty Difficulte
nbLifeInit Nombre_de_vie_initiales
availableLanguages Langues_disponibles
english Anglais
french Français
successfullChange Modification_réussie
fail Echec!
newValue Nouvelle_valeur
valueLower La_valeur_doit_être_inféieur_à
bomb Utiliser_une_bombe
money Argent
score Score
